index,deck,category,subtheme,subthemeId,originalStatus,v018InternalStatus,reviewMethod,finding,externalHumanGateRequired
12,stance,History & Relationship,Rupture & Unfinished Business,rupture-unfinished-business,amber,live-validation-ready,metadata-blind-and-pairability-pass,Ten-card metadata-blind review and sixty-pairing subtheme gauntlet completed internally; residual watch retained.,True
13,stance,Emotional Assumptions,Admiration & Envy,admiration-envy,amber,live-validation-ready,metadata-blind-and-pairability-pass,Ten-card metadata-blind review and sixty-pairing subtheme gauntlet completed internally; residual watch retained.,True
14,stance,Emotional Assumptions,Identity & Nostalgia,identity-and-nostalgia,green,live-validation-ready,carry-forward-green,No high-priority collision was identified in the v0.17 full-library audit.,True
15,stance,Emotional Assumptions,Fear & Insecurity,fear-insecurity,amber,live-validation-ready,metadata-blind-and-pairability-pass,Ten-card metadata-blind review and sixty-pairing subtheme gauntlet completed internally; residual watch retained.,True
16,stance,Emotional Assumptions,Care & Control,care-and-control,red,live-validation-ready,targeted-semantic-consolidation,1 high-priority overlap cluster(s) addressed with stable-ID rewrites.,True
17,stance,Emotional Assumptions,Approval & Belonging,approval-and-belonging,green,live-validation-ready,carry-forward-green,No high-priority collision was identified in the v0.17 full-library audit.,True
18,stance,Emotional Assumptions,Pride & Validation,pride-and-validation,green,live-validation-ready,carry-forward-green,No high-priority collision was identified in the v0.17 full-library audit.,True
19,stance,Worldview & Absurdity,Ritual & Tradition,ritual-and-tradition,green,live-validation-ready,carry-forward-green,No high-priority collision was identified in the v0.17 full-library audit.,True
20,stance,Worldview & Absurdity,Crisis & Catastrophe,crisis-and-catastrophe,green,live-validation-ready,carry-forward-green,No high-priority collision was identified in the v0.17 full-library audit.,True
21,stance,Worldview & Absurdity,Celebration & Optimism,celebration-and-optimism,green,live-validation-ready,carry-forward-green,No high-priority collision was identified in the v0.17 full-library audit.,True
22,stance,Worldview & Absurdity,Practical Grounding,practical-grounding,amber,live-validation-ready,metadata-blind-and-pairability-pass,Ten-card metadata-blind review and sixty-pairing subtheme gauntlet completed internally; residual watch retained.,True
23,stance,Worldview & Absurdity,Fixation & Significance,fixation-and-significance,green,live-validation-ready,carry-forward-green,No high-priority collision was identified in the v0.17 full-library audit.,True
24,stance,Worldview & Absurdity,Pattern & Grand Meaning,pattern-and-grand-meaning,red,live-validation-ready,targeted-semantic-consolidation,2 high-priority overlap cluster(s) addressed with stable-ID rewrites.,True
25,drive,Direct Objectives,Secure Help,secure-help,green,live-validation-ready,carry-forward-green,No high-priority collision was identified in the v0.17 full-library audit.,True
26,drive,Direct Objectives,Prevent Departure,prevent-departure,amber,live-validation-ready,metadata-blind-and-pairability-pass,Ten-card metadata-blind review and sixty-pairing subtheme gauntlet completed internally; residual watch retained.,True
27,drive,Direct Objectives,Obtain an Apology,obtain-apology,amber,live-validation-ready,metadata-blind-and-pairability-pass,Ten-card metadata-blind review and sixty-pairing subtheme gauntlet completed internally; residual watch retained.,True
28,drive,Direct Objectives,Gain Approval,gain-approval,green,live-validation-ready,carry-forward-green,No high-priority collision was identified in the v0.17 full-library audit.,True
29,drive,Direct Objectives,Transfer the Task,transfer-the-task,green,live-validation-ready,carry-forward-green,No high-priority collision was identified in the v0.17 full-library audit.,True
30,drive,Direct Objectives,Extract Information,extract-information,green,live-validation-ready,carry-forward-green,No high-priority collision was identified in the v0.17 full-library audit.,True
31,drive,Direct Objectives,Recruit an Ally,recruit-an-ally,red,live-validation-ready,targeted-semantic-consolidation,1 high-priority overlap cluster(s) addressed with stable-ID rewrites.,True
32,drive,Direct Objectives,Induce Risk,induce-risk,green,live-validation-ready,carry-forward-green,No high-priority collision was identified in the v0.17 full-library audit.,True
33,drive,Direct Objectives,Gain Recognition,gain-recognition,amber,live-validation-ready,metadata-blind-and-pairability-pass,Ten-card metadata-blind review and sixty-pairing subtheme gauntlet completed internally; residual watch retained.,True
34,drive,Direct Objectives,Force a Choice,force-a-choice,green,live-validation-ready,carry-forward-green,No high-priority collision was identified in the v0.17 full-library audit.,True
35,drive,Direct Objectives,Test Loyalty,test-loyalty,red,live-validation-ready,targeted-semantic-consolidation,1 high-priority overlap cluster(s) addressed with stable-ID rewrites.,True
36,drive,Direct Objectives,Obtain Surrender,obtain-surrender,amber,live-validation-ready,metadata-blind-and-pairability-pass,Ten-card metadata-blind review and sixty-pairing subtheme gauntlet completed internally; residual watch retained.,True
37,drive,Secrets & Avoidance,Conceal Culpability,conceal-culpability,red,live-validation-ready,targeted-semantic-consolidation,1 high-priority overlap cluster(s) addressed with stable-ID rewrites.,True
38,drive,Secrets & Avoidance,Avoid the Subject,avoid-the-subject,green,live-validation-ready,carry-forward-green,No high-priority collision was identified in the v0.17 full-library audit.,True
39,drive,Secrets & Avoidance,Protective Deception,protective-deception,red,live-validation-ready,targeted-semantic-consolidation,1 high-priority overlap cluster(s) addressed with stable-ID rewrites.,True
40,drive,Secrets & Avoidance,Induce a Confession,induce-a-confession,red,live-validation-ready,targeted-semantic-consolidation,1 high-priority overlap cluster(s) addressed with stable-ID rewrites.,True
41,drive,Secrets & Avoidance,Reframe Failure,reframe-failure,red,live-validation-ready,targeted-semantic-consolidation,1 high-priority overlap cluster(s) addressed with stable-ID rewrites.,True
42,drive,Secrets & Avoidance,Feign Competence,feign-competence,amber,live-validation-ready,metadata-blind-and-pairability-pass,Ten-card metadata-blind review and sixty-pairing subtheme gauntlet completed internally; residual watch retained.,True
43,drive,Repeatable Behaviors,Competition Loop,competition-loop,amber,live-validation-ready,metadata-blind-and-pairability-pass,Ten-card metadata-blind review and sixty-pairing subtheme gauntlet completed internally; residual watch retained.,True
44,drive,Repeatable Behaviors,Positive Reframing,positive-reframing,amber,live-validation-ready,metadata-blind-and-pairability-pass,Ten-card metadata-blind review and sixty-pairing subtheme gauntlet completed internally; residual watch retained.,True
45,drive,Repeatable Behaviors,Emotional Contradiction,emotional-contradiction,amber,live-validation-ready,metadata-blind-and-pairability-pass,Ten-card metadata-blind review and sixty-pairing subtheme gauntlet completed internally; residual watch retained.,True
46,drive,Repeatable Behaviors,Transactional Framing,transactional-framing,amber,live-validation-ready,metadata-blind-and-pairability-pass,Ten-card metadata-blind review and sixty-pairing subtheme gauntlet completed internally; residual watch retained.,True
47,drive,Repeatable Behaviors,Self-Serving Agreement,self-serving-agreement,amber,live-validation-ready,metadata-blind-and-pairability-pass,Ten-card metadata-blind review and sixty-pairing subtheme gauntlet completed internally; residual watch retained.,True
48,drive,Repeatable Behaviors,Pattern Escalation,pattern-escalation,amber,live-validation-ready,metadata-blind-and-pairability-pass,Ten-card metadata-blind review and sixty-pairing subtheme gauntlet completed internally; residual watch retained.,True
