cardId,exampleId,wordsBefore,wordsAfter,beforeHash,afterHash,rationale,reviewType,independentReview,liveTested
D06,D06-single-a,30,34,7fec8b881a5ffe49990814276f8a59837bc194fe30ea905c32289eae56c12e8a,a66eccdaeaa41b92a86a07df3cb7cbb8989d14e1193194f6fb715bc7b853a380,A probes the extent of B's information without volunteering the concealed fact.,internal-editorial-rewrite,False,False
D06,D06-single-b,36,28,02a17b786e291ff06d9c9bce908c74243619712b44d05ea03d5e006c178d73d0,52343b69fc33b3f314f5cd518f48b7518272c5846afec9236aa170efd1b9523f,A probes the extent of B's information without volunteering the concealed fact.,internal-editorial-rewrite,False,False
D07,D07-single-a,37,38,4e7a9268a5de6a639d9a31bd6f97815f99c7315889e8f78b7b2d9ba36ce2def9,558d47384ed88f5d7b1233373d6e13cacd047370f2d44f7d330caa9c3c8e10b5,Recruitment proceeds through enticing partial disclosure; B can question or refuse.,internal-editorial-rewrite,False,False
D07,D07-single-b,33,42,087be5398ea353be53dc845b6730e0ba49a1cbbbe9f4aeec9c0569977fc62f89,106b163751266a608e37e890f60c877f730adc8ea0fce49a5bf30fb907e636b7,Recruitment proceeds through enticing partial disclosure; B can question or refuse.,internal-editorial-rewrite,False,False
D08,D08-single-a,34,35,a5ba2d2d6aa9d49894aa356d735f4baf86b20a0f6bf69dda16b7ed7091597e5e,5a6cd609e7bff8eee8c1eaefa5e34b41573f7cc3aa4586ae04a911f791c01e06,A preserves plausible innocence while inviting B to test the rule first.,internal-editorial-rewrite,False,False
D08,D08-single-b,33,33,49d0dc1ac9bd8068691c150c11ad4a97ff950f12523c84d2228a5687ae7e5d15,12146d30eb0546ca5a6602ef2c0030ef26f99fb1229f2cdfbe78668e3a08b7dc,A preserves plausible innocence while inviting B to test the rule first.,internal-editorial-rewrite,False,False
D09,D09-single-a,39,33,10db402a67abc31eb424c943748fddaf44463656471b6c14e581a9f970eed968,33ab2b58b8fed5e9ca485c4a04f50f271bd274f432307520fb2412b050a397c0,"A insists that a concrete contribution be acknowledged explicitly, not absorbed into a collective thank-you.",internal-editorial-rewrite,False,False
D09,D09-single-b,29,38,8c5db09d4fc3cb3ef91cbefcd1225f01fd5017203c67ec5591c6bb526118328b,a4e32a52f9d31282efce2bed15f08abc4b3f963c872e822e2e238a0a7d36b041,"A insists that a concrete contribution be acknowledged explicitly, not absorbed into a collective thank-you.",internal-editorial-rewrite,False,False
D10,D10-single-a,36,36,6f83ec6f4f268105432073bdd79ef7b0cb5ab9e1dc740d300874ddb640c086ac,d2598e9aa18dc19429e14f84ffee48377fa1d2811dc2dea25178626f91c533e9,"A makes a competing choice personal, offering escalating reasons to select A.",internal-editorial-rewrite,False,False
D10,D10-single-b,36,34,531174d2b3dc6d46df5e1d6ecc791dce24f351488fcc5aa3eaafecce2cf1d165,ddf63454618bbc497a5b663fe3987081a95a9c6a33606c1ef6e2718d3594f825,"A makes a competing choice personal, offering escalating reasons to select A.",internal-editorial-rewrite,False,False
D11,D11-single-a,33,37,2f6f93b45189557f5381ec494c9cad6379b7b10d91590c7ebcfa0e391c42babd,a4e09d2dad643e8014c9214909b91a70f089ec881d4c0d1682fd1d5f555588cc,An apparently casual choice becomes an unannounced loyalty test; A treats each answer as evidence.,internal-editorial-rewrite,False,False
D11,D11-single-b,38,32,4b24931ed553c8442ff886fbe3e789b0bad3fc0e638efa434e8cd867282c7814,b3b534dabf1f3884db8c69579f732fb7f075128d412ae910ca76b80fcbc89ac2,An apparently casual choice becomes an unannounced loyalty test; A treats each answer as evidence.,internal-editorial-rewrite,False,False
D12,D12-single-a,35,40,e5eee0e341d2e8b7a212f1b4bcac338af2a9c2dec1f7da4eea7bdeb30351830f,34276219bfee04f60309dc283d97b7aa74c4e07cfb693bd5c34f4b4611348b7e,A pursues a valued possession or claim and distinguishes surrender from a reversible loan.,internal-editorial-rewrite,False,False
D12,D12-single-b,37,30,02a0bd19eda4b793851a328f49252f6b2c184b8440873578c6dbd09b3ec990c6,869b6c97798b04ffe2b2de5bc6c7b322208ce3892dd39078544323b2e23cfa21,A pursues a valued possession or claim and distinguishes surrender from a reversible loan.,internal-editorial-rewrite,False,False
D13,D13-single-a,35,43,706b39ecc966252d60265cda21a8e945adcd85120501e39635609b2ec5ae005a,1e82c7c5e728545af4e916854e6839d4dcef469298fb2afe655f75ccb5a0b629,A's enthusiastic investigation diverts scrutiny from their own incriminating evidence.,internal-editorial-rewrite,False,False
D13,D13-single-b,35,33,a20a1f4a02ebb405b444f317c17572e617c2a7a247571b19f9e0928f675c315e,8584231fbb156c75bf794a9a565166e8334fdbbd270c6962e776e4247cb08e59,A's enthusiastic investigation diverts scrutiny from their own incriminating evidence.,internal-editorial-rewrite,False,False
D14,D14-single-a,30,43,09295376b972ce650d01bd976fc1c1398140f18326915ea7b7a49f887acf30bf,305f00ccf16e445fc049d8019f9f6feed5d31ab51b055fbb57091c322f9904ac,A redirects through a concrete adjacent subject; B returns to the same protected topic.,internal-editorial-rewrite,False,False
D14,D14-single-b,38,38,fa46fa34f7690de0c725f0c266a6701a604b49655f985062ffcbdf521f12716e,133493820a1797322c0f085b691dab6945099038f8aaba7350f214d3c3349c4b,A redirects through a concrete adjacent subject; B returns to the same protected topic.,internal-editorial-rewrite,False,False
D15,D15-single-a,35,32,25d03869ec9b0527b22b708aaea882fd2e4261f83cdf4b1a77fbdfa5d27fae09,478c09b9d6d0a72a00e2ab2bc68037576017b76bf1281710e23f7d7d71b0bada,"A maintains a protective lie as specific facts make it harder, rather than concealing for personal advantage.",internal-editorial-rewrite,False,False
D15,D15-single-b,29,32,efbf2ac70081fac086721182e511f0729159c08253e65f850b204e4a1bf9271a,03d26eacedea3cee75b8643e338665002a27c9536499c0c2d27e50990d78c68a,"A maintains a protective lie as specific facts make it harder, rather than concealing for personal advantage.",internal-editorial-rewrite,False,False
D16,D16-single-a,34,40,536c89f85bd1716b5d5e11a5a18c072b89cdb71177a2ed4399ac375957e6a542,06504256802885fde6ca89014f4f5ee748c9d4b403465f460b19365b10dbe719,A trades disclosure for B's prior admission and delays their own commitment.,internal-editorial-rewrite,False,False
D16,D16-single-b,34,34,934a334492629d6053a06eb80197f8ea2b6610deed83e3aaee7e53ff3fb24e9c,e037695c691af95d59f589e1338598c7c0591d6888f5d5c28fa2a715aae567ac,A trades disclosure for B's prior admission and delays their own commitment.,internal-editorial-rewrite,False,False
D17,D17-single-a,34,30,865616ad1675e8cb65e59dfc22a61b23731cffc07569b3558c5bfa1a3c0c2486,0d18d22b6b5c187334909d495c8731bca41252f170fee0bb6e66cc675ddcdfeb,Each practical objection becomes a sales argument for the same obviously bad plan.,internal-editorial-rewrite,False,False
D17,D17-single-b,30,30,c75714a423bfec5d58613b50aa1c44f4cccaef1c22cca639c8dbe82b91904626,db5ed95e97c4234e6a111375661b02a7de0b0e076d119719f25a3ab25c0f6c43,Each practical objection becomes a sales argument for the same obviously bad plan.,internal-editorial-rewrite,False,False
D18,D18-single-a,30,30,1fb273bc9d6c3aaf150c6282a0aa19a4cb8311b4fd8baa222a0f7501619262e5,1cbabef9c72dbee689807a1088828f3695bef5e7be1ae51a04f31cb377e695ba,A invents confident technical interpretations of concrete evidence they do not understand.,internal-editorial-rewrite,False,False
D18,D18-single-b,29,32,22c03d6bd99807072144f328ac6ae323511d11bc66c20243b22922daac373be0,967121f118484d406bd521400377e705972ff033cc47a96c6036c380adc929a8,A invents confident technical interpretations of concrete evidence they do not understand.,internal-editorial-rewrite,False,False
D19,D19-single-a,30,34,087610423f699bc19a08ee8318dbeb5c33653ddc856cd85b0e69f65641271557,7e9b9d72667ad2c922c55a64cd038e8ae7436ec751b7bce43dd1def03e6fa7f3,B's attempt at ordinary cooperation becomes the next measurable contest.,internal-editorial-rewrite,False,False
D19,D19-single-b,35,27,430e6996bf1bca0e982c565103966cc2ed8b99ee039b8df7634a185b448d47cb,88f1dcdd3b5d12c8e928e0ff0dba47ef9992d3df62541ccb3d952487817c1ec8,B's attempt at ordinary cooperation becomes the next measurable contest.,internal-editorial-rewrite,False,False
D20,D20-single-a,29,25,c775bc1e86b2be078d3e5daaed2f38c3901877c89fdda5c691e84e166f8416b4,2014a214e790651621a3f7829cb59f8f991c920dc0526c14117a714c9489026b,"Optimism increases as setbacks accumulate, turning each newly lost option into an opportunity.",internal-editorial-rewrite,False,False
D20,D20-single-b,28,30,5a4b1ba2f39d23492400ab58c21715810480299777182aacbe5a52deca469a5c,1a7d9936abc03cf37385ffa9512bf4642cdcbee4b937f3b7151431f92a001e90,"Optimism increases as setbacks accumulate, turning each newly lost option into an opportunity.",internal-editorial-rewrite,False,False
D21,D21-single-a,31,41,b75c8da63b0b351c8474e1b68e7a6c038d81d903e758520f6be984eb0c12352b,cb055a5a3465579df2c6ed3a54b43af3dba4f372739f4769d940f1e170228226,Helpful language remains intact while practical generosity becomes increasingly furious.,internal-editorial-rewrite,False,False
D21,D21-single-b,32,39,ba5a5b409859f4819b79b5a9ccb3e66b332e33e7211543eb8b94eec33f0bdf30,2fbce0a3cf72a7df5ca943a87acc34f8e5e26d0b28e53514f86306f26fe1b5f0,Helpful language remains intact while practical generosity becomes increasingly furious.,internal-editorial-rewrite,False,False
D22,D22-single-a,34,38,4ec140107b3d273c9652c8c6eebe00cfb8e5940f90857a0fc4d62bc876784edf,a49c538c9db82c4c37811149967671959028a8e1b8afa39f29af055c7194de96,A negotiates ordinary kindness and even the terms of acceptance as exchanges.,internal-editorial-rewrite,False,False
D22,D22-single-b,33,32,f399adfd5435b66618890ae35409efa774a128b204f053e311f9fbcc6a9daa66,f1f9833f8c367b450edeb23ce67fc1865a9bdb920a6d4198fac1772979b6d5ba,A negotiates ordinary kindness and even the terms of acceptance as exchanges.,internal-editorial-rewrite,False,False
D23,D23-single-a,32,34,a5fa7a20d423a6bdbe8c1ef11d2bd91ff86ba9ec318d4a53e2f08580d22fd1f9,f28c138ced5d74de2744fe531ca413be583ea2fec5e0d59821c16b9c76cd69e1,"A verbally agrees, then narrows the agreement to suit their own convenience.",internal-editorial-rewrite,False,False
D23,D23-single-b,34,38,7528f8322d9b4758006fbb6d121dda2392e86553ddec9001d589be54c5ec9f5b,0525c18ab80e10cb94411009e0bd5196e576a3ca9eb81f155ab2b1beead08027,"A verbally agrees, then narrows the agreement to suit their own convenience.",internal-editorial-rewrite,False,False
D24,D24-single-a,30,34,6db61c019f0725f786d3671d558b475b41f639a30fcec6314cc7bb250137a4a2,a0d09c3eaa706e9cb7e5abcbc4f081817f2f4809b0f36a87607312822212f9d6,"Minor recurring evidence expands a specific theory of a larger problem, distinct from mere random worry.",internal-editorial-rewrite,False,False
D24,D24-single-b,32,32,358a1e77504e646a4decc3a8ef22ea6ae2d3a4381cf1228e65e9aed031896179,acd90a6333ddb547e144668a80cf369f06f72f808b505b64cde1cf0204def6fd,"Minor recurring evidence expands a specific theory of a larger problem, distinct from mere random worry.",internal-editorial-rewrite,False,False
D25,D25-single-a,38,32,7439065c8b5a361811cf264f81e361bb7dc530e520f3ddf4080a920b0b27f545,d19698499269ffc2fef2bbe7e15663d23c6e08b0f6e06adbcd5752cf726189fa,"One tiny favor expands into the whole task, with each new request growing directly from the previous one.",internal-editorial-rewrite,False,False
D25,D25-single-b,38,27,21ab65f5d64e108b63d490844723dd113697580a35344715e821ea0256894582,36623deee56f49b21d3580f3551fc2e36eb1cd424e315d898db29ac3faf46dcd,"One tiny favor expands into the whole task, with each new request growing directly from the previous one.",internal-editorial-rewrite,False,False
D26,D26-single-a,28,29,600655af1767e02eddcaa53af4da6a51198097ccc954e7b234f9e65a493bb709,ee24f079aea2b34dd32fea691f6cbf8ea475aca3e132f2dfcab6fdefcab497ad,A discovers a new concrete reason to delay departure only after B resolves the previous reason.,internal-editorial-rewrite,False,False
D26,D26-single-b,36,33,a86c6401a5ada5b1bc665b253cffbfc20845792c711263ed5ce192dcacb6d99e,b5118f434746531dfec35a241adb2031a4d86760554b3d8790a27d6182f09b2b,A discovers a new concrete reason to delay departure only after B resolves the previous reason.,internal-editorial-rewrite,False,False
D27,D27-single-a,32,33,6fdb7438ca6a618ac4266a177b2c6f65ae6a6b911b313d1e479f7174210c2213,18e520f9a03378836ea0654b4b82c7cce3417bc8aece37670a83e0b90044801a,A displays the actual cost of B's inconvenience until an apology becomes the practical response.,internal-editorial-rewrite,False,False
D27,D27-single-b,36,34,4e19799222a3ca8762092d57021b9c87a4c950d9d2e3196c6f786e5bb1b36528,b784dbdfc419bdb28a273656ffc93041a5132a15dcb397806cd86f68a307240b,A displays the actual cost of B's inconvenience until an apology becomes the practical response.,internal-editorial-rewrite,False,False
D28,D28-single-a,36,34,89ba29e75d7d9ce3938e2aa5c9f2e07b269612d05c2fa40e88d9790790d8b116,7c6cf06b8e551e57e1355afd85bd1def6614069726e2d4115b26509b6b64f962,"A accelerates a yes before the costly particulars are considered, using the act of reading as a supposed risk.",internal-editorial-rewrite,False,False
D28,D28-single-b,32,31,ef1dd965dc3f60c7b9aedb609d2ce32ad67fb3e8f5c1f3f003fc1fd10f64f37f,beb659f322bffa47cc9d520f999597e3771f1e9eebd7dc95a0cd93084bc44742,"A accelerates a yes before the costly particulars are considered, using the act of reading as a supposed risk.",internal-editorial-rewrite,False,False
D29,D29-single-a,31,27,47398559b974bc4d895de5112cf52a29bb6084049012d3692c609a67d2088afb,079b2508aa3940aa11df29fcbee774eb312b24e5e88177812fd7154619998334,"A transfers the responsibility back to its agreed owner, refusing to let competence become permanent duty.",internal-editorial-rewrite,False,False
D29,D29-single-b,30,34,71ac758b1a28e500d7a7a53ea116930bdcb1d6f9262e531293b004bf668f11a1,d5d3bc777212efb07c0d405c3e28f4e62c7d7cae489f1a535fcb7d970df4dda6,"A transfers the responsibility back to its agreed owner, refusing to let competence become permanent duty.",internal-editorial-rewrite,False,False
D30,D30-single-a,35,35,0172e932871473c89620d417fc8089cf65aee55664720ae1a39189f6edd222bd,55ef8b66f2bc277d283431bcde97cb7cf7e8e9e50f8e8cf4e25bdf3cd981d3ef,"A reconstructs forgotten plans through questions framed as verification, never admitting the lost track.",internal-editorial-rewrite,False,False
D30,D30-single-b,29,31,fc13eaff9423f184be530b2f2a53dba4de3753f67e9ab9bc65b7ce069eb0acd1,0d20a1634098b43e396299e49d75a95183a5ff21d879b9b95f92f94e5e6e84e3,"A reconstructs forgotten plans through questions framed as verification, never admitting the lost track.",internal-editorial-rewrite,False,False
D31,D31-single-a,35,41,cd33f8c12880d39dc20c65f0c11d9a51db64f770c1a4c02d1342afddc6863ad1,02c0ecbbf5998fedc5b948c60be3ac04c10501a88d2052008a1cfcd3bd8fc64d,A recruits support for a disputed everyday arrangement and negotiates the wording of that support.,internal-editorial-rewrite,False,False
D31,D31-single-b,32,36,6ee2c85e4625bad897428943f1eb3dfecbd7acf1bb4794fea376e55562c63632,849a2e03576398e11fab6af001bd2db961f0204285696e427f8313e57a81160c,A recruits support for a disputed everyday arrangement and negotiates the wording of that support.,internal-editorial-rewrite,False,False
D32,D32-single-a,29,34,5cbf744702b818b2e7a13617c808b08700d9a46622831d0dddaf0f17ff6982f9,594e8992bbf1a47f4c1bc2d5e8aef0c10e2ef9375a2a1ef56a60e3046479538c,A coaxes B into testing an uncertain shortcut while remaining ready to learn from the result.,internal-editorial-rewrite,False,False
D32,D32-single-b,33,32,ddf5ea12ef692d720313d871104aa8cdcf8d48a6255f3b2d8531ab1d42611b0d,63ed41ca63e07680ab38b61c7d5030d33b5b3de362b5233f1f8acff2e17a04f2,A coaxes B into testing an uncertain shortcut while remaining ready to learn from the result.,internal-editorial-rewrite,False,False
D33,D33-single-a,33,32,b09807050df2edff82cdc860a31c1b528fb010d8c67b19c933e5d6d6b23623c8,63f954019e3423866e964e773e266e662957d6dc33c6312657294f93781b6ec8,A insists that effort be recognized in its concrete units rather than dismissed as a minor favor.,internal-editorial-rewrite,False,False
D33,D33-single-b,31,29,194b49f75d665486b6d24e49629b6275ed5ed48e9248da7ad38e71762e9c9d16,e22b35bbd6a103e7ce4731cf755e97ef07e22cf46eee7347cb651045d39ee886,A insists that effort be recognized in its concrete units rather than dismissed as a minor favor.,internal-editorial-rewrite,False,False
D34,D34-single-a,35,34,715166811ff2b72b580f6b615959a2b8ccc0faed3476015be88a44ba0909eeda,026f29bf19c361f110e7b45d6fa02f0f6bb764dad054d6ffc494dca0f224337c,Two incompatible obligations force B to choose what will be sacrificed; A refuses a vague demand for both.,internal-editorial-rewrite,False,False
D34,D34-single-b,30,36,f6f16d7bf712f8c4ae6b22712f77f4b2a2ebbaef2032f3c92d42773125ee4149,668ca1531b9bcf79a250709447edd58eb91726039ba7b2688cff44debd6980d9,Two incompatible obligations force B to choose what will be sacrificed; A refuses a vague demand for both.,internal-editorial-rewrite,False,False
D35,D35-single-a,33,36,429eef28bea12be468a529972f0d82dac10410a41c543c43e392b571b7cfc4c6,0cddd2c843355ff38ced4a4466aeac87c248d47d58b91cc32562913f39f3d572,"A asks for a small rescheduling as evidence of personal priority, not simply availability.",internal-editorial-rewrite,False,False
D35,D35-single-b,33,36,32ab3117189c2183d5130d310a3ac4a7b5f890f5feeb6fbec52e0a2839e38861,df984b69707cae0ad67de64588127c18debacd21acde8636f657f98b9296fb8a,"A asks for a small rescheduling as evidence of personal priority, not simply availability.",internal-editorial-rewrite,False,False
D36,D36-single-a,39,38,1f3c8631b7f1b9a1cd3339241313ecb43fbd00f488c97138ff875f536fcfff7a,c9d502908179e431c6d61702fb8752a8ab7ee0e3519cdecbcc82ec9bd7f9ecb4,A seeks control of a task by offering a concrete handover while B keeps defending ownership.,internal-editorial-rewrite,False,False
D36,D36-single-b,35,39,ea2c3b1fce6ab7dede61ba08946589750594910c8e579052aaa1d0136efcb4db,33e319f4210662ab4c782512de3d7b4083082ab4af2ead9996fd909dc83e4eb2,A seeks control of a task by offering a concrete handover while B keeps defending ownership.,internal-editorial-rewrite,False,False
D37,D37-single-a,30,35,453281b556573d2bae56a4a8e8e12eb3407b893088d346bdeeef0068b55ded06,d6fa4d727ddc4db385ca1a80530baf803385db772dbf75cc449bc58642880a8e,A restores an object inconspicuously while new evidence threatens to reveal the original misuse.,internal-editorial-rewrite,False,False
D37,D37-single-b,31,35,56cf0033cb0e54bea47599395893257c88f582643a591bf0a7ad1eb862218870,74a2e7e9a083d7d90f99fde0c03b42f904f3b3c9075591fbd1539c3741454332,A restores an object inconspicuously while new evidence threatens to reveal the original misuse.,internal-editorial-rewrite,False,False
D38,D38-single-a,34,34,f7a18c1e1c655987af9aff64f85981e8b3a363b0869287bf3c3b5cf39e12db5f,db2b6a512f4fecd031952c8f1c0279c0207fff26de20f3f8f1df5689fa049cd3,A directs attention to minor presentable details so a major unfinished responsibility stays unaddressed.,internal-editorial-rewrite,False,False
D38,D38-single-b,32,27,7a80cbf48e86e04461746eeeaa5dcd62aa5f0801c40666cc2031f228278bac6b,6ad86f1377dbc7f3f3113f3007bd7aff9479e5a606d9aeec7b6e3e2496f8abd6,A directs attention to minor presentable details so a major unfinished responsibility stays unaddressed.,internal-editorial-rewrite,False,False
D39,D39-single-a,36,38,9969f38f09dc5bca76fd51e893259aa715c56c2f076fb5489e664b1fe102bf07,e5faf48804fb790c97c565cb9dd397d0982b1e0656032f9a1129b7cb2f3ea3c3,A hides an inconvenient problem to spare B worry and quietly increases their own burden.,internal-editorial-rewrite,False,False
D39,D39-single-b,31,37,6f8cde72f5e342566f92e710222b44fe6bea7109b490d8b55e9d9dd0710d81e4,84640180bb14452c356007d16b8dc4e0def58d0d102cfdb1b2666713531486ed,A hides an inconvenient problem to spare B worry and quietly increases their own burden.,internal-editorial-rewrite,False,False
D40,D40-single-a,35,38,236c218617e79f97a5bb9029c5b1b399bdc952173739ba0aca3dd8542f68148a,abf2556d6aa7a94653b22e10ae1c77b38a88a5a3f710cdea78c74d8553954e2b,Innocent detail questions narrow responsibility for a changed shared plan until a voluntary admission becomes likely.,internal-editorial-rewrite,False,False
D40,D40-single-b,28,33,1649389c222b034639c1f0e798a9e347f779a4e1556fee77fa4e3544e540f451,80459922689832fd9b8adcd0ed474d42e148a77d5f2aba4394178e3a172a10f0,Innocent detail questions narrow responsibility for a changed shared plan until a voluntary admission becomes likely.,internal-editorial-rewrite,False,False
D41,D41-single-a,31,29,9c19a12241d59e5f9f732949ed4175360d22efdf058eae0bb8ab018a52720c87,d3cc704115f66ed8d9d2e8522be06b6f75193b99bd23626de62c95a1f82269bd,Incomplete work is described as an intentional finished product; practical testing exposes what remains absent.,internal-editorial-rewrite,False,False
D41,D41-single-b,30,30,5b9df38050f7a62049924ca054368b0e3d3d8fc91f735f54199024266a6e0eb9,42801c65b813c8af9c1102a0179da9af7dfa6ef87046aa05fa556397ccbf5681,Incomplete work is described as an intentional finished product; practical testing exposes what remains absent.,internal-editorial-rewrite,False,False
D42,D42-single-a,30,33,f96d6b55b9f59416f0a733a983d657193c63185d1c514cd3f58bb887983f5e50,28b91997a1368bf739693fd33c908f95d148189b4ac3c8a230948e363d27d6c3,A learns from B's practical corrections while pretending to recall each step from experience.,internal-editorial-rewrite,False,False
D42,D42-single-b,38,30,0762a7005992dcbe7572f395e691d25b39bc5814b17e6ca5c3ba37a611e06648,308159196d2287ceead8c97d83b44ace94c472f69b32a6edc093d67cc74bb9e7,A learns from B's practical corrections while pretending to recall each step from experience.,internal-editorial-rewrite,False,False
D43,D43-single-a,34,36,76b4a1aa2fc59f3e8240243e9069b25283bc9d62d1f4cad4b3edc3fd7368298b,990bd058416266c45948857f0ccda53454da92b31b1b68420ca8b481c691dd76,"A exceeds the actual favor just offered, turning generosity into competitive escalation.",internal-editorial-rewrite,False,False
D43,D43-single-b,32,37,afe61769bc7ca1a53959644963f1e13ce2535a0bbc81e730ee11946774455d06,ee6e5634dc6f2d91d7d1d89c1e01553b6a0c4450a3f34c3f2f9737f44c2741ed,"A exceeds the actual favor just offered, turning generosity into competitive escalation.",internal-editorial-rewrite,False,False
D44,D44-single-a,29,36,3f7de1364e6e70cdfbe0daae4e347002dcd23c8d39f79de7e0631cfeb37f35bd,33e85329bd7a103cba150e5f941bfcb59528b8e789c3ebb1cb64fb51fd808941,A derives a concrete efficiency scheme from each inconvenience rather than celebrating without a plan.,internal-editorial-rewrite,False,False
D44,D44-single-b,32,28,e036adc28801a3411c5b5bf5cb5011468a224bd9267f2901b26aa4a9a9fe1c1f,0718f87695226802d2517c686bcbf1a9a3b9278e8267954da6ef62f96d965aea,A derives a concrete efficiency scheme from each inconvenience rather than celebrating without a plan.,internal-editorial-rewrite,False,False
D45,D45-single-a,37,37,078c995d2e86e06a16d962e4fa0760bf7972c321b01410ff40dedecccf77b810,ec2635b25119cac26d9f51357d2d7d37ecaa589df13cf0a5646c3e903c492285,A accommodates each extra burden while ensuring the cost remains impossible to overlook.,internal-editorial-rewrite,False,False
D45,D45-single-b,31,33,8e07c26344dbe069d8edafa95f9781ebf2f5c45a2840fa19c325ceb59ff04cd8,745c2bec8605f43747db8dd60bd513b0e1e0a43b2fabe790d7e258cd3ba27abf,A accommodates each extra burden while ensuring the cost remains impossible to overlook.,internal-editorial-rewrite,False,False
D46,D46-single-a,31,32,9de0ce134e1dfad894049ec45d905fd033ff77e1cd3df41d97e10c924332c3d6,d913bd77adabcabcdca1f18931131a0017b3a57c5f2405bdd385e3b8dd08c5ad,The price of a favor is recalculated in concrete time and effort when B challenges the exchange.,internal-editorial-rewrite,False,False
D46,D46-single-b,37,35,543cf0554aaa44169cbfb141f60655b8c630a41aea804e5d02ff804e6b97792e,a3ddd23e9c0fd3bab12f1db57e84165d9b029c36ca151c949ab8476171ed8399,The price of a favor is recalculated in concrete time and effort when B challenges the exchange.,internal-editorial-rewrite,False,False
D47,D47-single-a,31,35,0783a8b339a1d181e3d41b40c2d8209fd8ad31265d5c864d495374109f02e467,c9f9842befc94b8eea05e5ed4bbe1c7fb1f9cf1ea3252476c6775c915e85e4eb,A fulfills the literal minimum of an agreement and treats B's broader expectation as a new request.,internal-editorial-rewrite,False,False
D47,D47-single-b,29,27,5ea8205ae0c1f8e67b6a56dbb6aac61e069342a73437444040f82b36e4d3b5d2,949da59a2b0bede5324bad63ce12596216f6138239b4c4e34fd9ba9016a1279d,A fulfills the literal minimum of an agreement and treats B's broader expectation as a new request.,internal-editorial-rewrite,False,False
D48,D48-single-a,34,35,a8b9e94f7b249cd982188fb9dddcb947d10077455ffca674a70f11017bd8433c,8780364d402d2bcea3358bfd33a631e20d3972b98f45586ee5f9fa75c0eb2d5f,A turns a small repair into a progressively larger intervention through a consistent chain of supposed dependencies.,internal-editorial-rewrite,False,False
