# ID|action 1|line frame 1|action 2|line frame 2|standalone request (inserted in both frames)
S21|I make a toast with the empty jug.|Wonderful, we've eliminated the washing-up problem. {ask}|I clap over a torn invitation.|Now we can invite twice as many people. {ask}|raise a glass to our unexpected new opportunity.
S22|I write a cost beside the words 'talking ceiling'.|Fine, the ceiling talks. Who pays its overtime? {ask}|I put the miraculous object on a labelled tray.|Miracles still need somewhere to drip. {ask}|tell me who's cleaning up when it finishes.
S23|I centre a paperclip while ignoring the larger mess.|Everything else can wait until this is straight. {ask}|I pick the same paperclip out of a rubbish bag.|You nearly threw away the essential part. {ask}|put that paperclip back exactly where it was.
S24|I connect two coffee rings on a scrap of paper.|Two circles. Two cancellations. It's all arranged. {ask}|I add the ringing phone to my diagram.|Even the interruption was scheduled by something bigger. {ask}|put the next coincidence on this map with me.
S25|I sort the lunch orders before finishing my sentence.|Blue slips first. Decided. We've saved a minute. {ask}|I start stacking chairs while announcing the plan.|I'm quickest, so I'll choose the order. {ask}|put the sandwiches in the order I've marked.
S26|I hide the word 'temporary' on my badge.|We have a very established system this afternoon. {ask}|I consult a clock before asserting the rule.|While I'm covering this desk, {ask}|bring the deliveries through this door until five.
S27|I turn every mug handle to the same angle.|There's a correct way to leave a handle. {ask}|I examine a folded towel at eye level.|That corner isn't finished; it's surrendered. {ask}|fold the loose corner under before stacking it.
S28|I use the side entrance and wave familiarly.|They must have moved the bell since my last visit. {ask}|I point confidently at the wrong coat hook.|Ah, redecorated again. {ask}|show me where they've moved my usual mug.
S29|I fold one corner slowly for inspection.|Watch the wrist. You'll thank me later. {ask}|I stop halfway through a familiar knot.|This is the part beginners rush. {ask}|copy this knot once before I let go.
S30|I keep the spare batteries in my closed palm.|Happy to help once the details are settled. {ask}|I put the supply cupboard key on a string.|I'm just looking after the little things. {ask}|bring the shopping list to me before opening the cupboard.
S31|I set out two cups without asking.|Your chipped one, my ugly one. Same as always. {ask}|I start the old hand signal over the washing-up.|You know this signal. {ask}|take the drying side like we used to.
S32|I add a tiny stroke to my favour notebook.|That's the third lift this month. {ask}|I turn to the page labelled 'rainy Tuesdays'.|I did keep the receipts for my kindness. {ask}|cover my trip home this time.
S33|I pin a reminder to the reminder.|I remembered that you'd forget this one. {ask}|I offer the umbrella from my bag with a sigh.|Forecast was on the note I left. {ask}|set your own alarm for tomorrow's delivery.
S34|I time my washing-up with a kitchen timer.|Four minutes. How long was yours again? {ask}|I weigh the two shopping bags before taking one.|My half weighs more, as usual. {ask}|count how many stairs I carried these up.
S35|I hand you the unfamiliar keyring casually.|Just checking that you remember the route. {ask}|I hold a blank form behind your completed one.|I'm comparing layouts, not copying. {ask}|point me toward the right counter without making a fuss.
S36|I stop beside a single abandoned sock.|Different sock, same conversation. {ask}|I move today's late note beside last month's.|I'm not bringing up the past; it's already here. {ask}|tell me what's different from the last promised cleanup.
S37|I copy your shortcut and inspect the result.|Must be lovely having things just work. {ask}|I pretend not to admire your neat schedule.|Some of us can't colour-code our way out of life. {ask}|show me how you made that task look so easy.
S38|I unfold our old, much shorter shopping list.|Remember when dinner needed three things? {ask}|I put away a stack of planning apps.|We once managed with a knock on the door. {ask}|pick one evening we don't need a spreadsheet for.
S39|I cross my extra request off before presenting it.|Forget the last item. I'm not being a nuisance. {ask}|I take my coat off an empty chair apologetically.|I can take up less space. {ask}|tell me if this small favour is already too much.
S40|I produce the lunch I packed for you.|I already prepared for that decision. {ask}|I unfold a spare raincoat between us.|Going without it makes all this planning pointless. {ask}|take the prepared bag instead of starting again.
S41|I wipe an already clean patch of table.|There must be one more useful job for me. {ask}|I reach for the broom before collecting my coat.|I'm worth keeping for the corners alone. {ask}|leave me something to do here tomorrow.
S42|I display my raw hands beside the clean dishes.|No, these didn't wash themselves. {ask}|I set the empty detergent bottle beside your plate.|Just a small exhibit of my afternoon. {ask}|look at the room before saying nothing got done.
S43|I move the breakfast bowl back to its usual spot.|We change the bowl, then breakfast collapses. {ask}|I restart the kettle after a missed step.|First tea, then keys. We know this. {ask}|wait until I've finished our usual order.
S44|I pull a second torch from my bag.|The first spare could also fail. {ask}|I label a cupboard 'backup for the backup'.|I'm planning for the bit nobody plans for. {ask}|check the spare batteries before we leave.
S45|I smile at a broken shopping bag.|Now we get to discover what we can carry together. {ask}|I turn a late delivery note into a new plan.|A free afternoon we never booked! {ask}|help me turn this delay into lunch outside.
S46|I count the chairs before accepting another idea.|Whose back carries all of this home? {ask}|I place a mop beside the celebration banner.|A party is also tomorrow's sticky floor. {ask}|name who's doing the cleanup before we start.
S47|I straighten one crooked label again.|I can't discuss the bigger plan with that leaning. {ask}|I cover a tiny stain with my hand.|No, the clean parts don't balance it out. {ask}|fix this one corner before showing me the rest.
S48|I unroll another cable from the tangled pile.|Of course the simple job has a second cable. {ask}|I open the small repair and find another lid.|A door inside a door. Naturally. {ask}|put the new problem beside the first five.
S49|I write 'ruling' above my suggestion.|That was a decision, not an invitation to debate. {ask}|I number your objection as an appeal.|Appeal noted; original ruling stands. {ask}|follow the order I wrote at the top.
S50|I stand straight, then lower my voice over my badge.|The authorization details can wait. {ask}|I offer a concession while covering the unsigned form.|I'm happy to be flexible about this one thing. {ask}|support this direction without checking who appointed me.
S51|I hold a blank entry form behind a checklist.|Qualifications first; participation second. {ask}|I inspect the tiny print on a certificate.|Almost eligible isn't eligible yet. {ask}|show me the qualification before joining the discussion.
S52|I set my nameplate on the contested chair.|The chair doesn't need an audition. {ask}|I push an application away with one finger.|I already belong on this side of the desk. {ask}|remove my name from the waiting list.
S53|I hand over the key, then keep one finger on it.|Your first decision. I'll just approve it afterward. {ask}|I set my successor's chair directly beside mine.|Leading doesn't have to mean moving away from me. {ask}|make the announcement, but run the wording by me first.
S54|I smile with my pen above the final box.|I'm not obstructing anything; I haven't agreed yet. {ask}|I leave the gate key just beyond my open palm.|I'd love to see this go ahead. {ask}|bring me a version I can quietly approve.
S55|I put our first cheap name badges beside yours.|Same first day. Yours cost the same as mine. {ask}|I pull my chair level with the grand one.|We started elbow to elbow. {ask}|talk to me without the new title for a minute.
S56|I place the old loan receipt beside the proposal.|My support wasn't a donation to your independence. {ask}|I trace my contribution on your plan.|I still have a stake in what this becomes. {ask}|let me change the plan my money helped start.
S57|I slide the briefing pile into my preferred order.|The boss will naturally see this page first. {ask}|I pencil a suggestion onto the leader's speaking notes.|Just preparing the decision, not making it. {ask}|give me the papers before they reach the chair.
S58|I move my tally beside the leadership vacancy.|Another successful morning under my name. {ask}|I put a rival's mistake beneath the appointment form.|No campaigning, just helpful evidence. {ask}|compare our records before naming the next leader.
S59|I cover your name on the advice I borrowed.|A perfectly adequate second opinion. {ask}|I pass you the difficult page without looking up.|I had almost reached the answer myself. {ask}|check my decision before I present it as final.
S60|I keep the record of an old overturned decision open.|I've seen a friendly amendment become a coup. {ask}|I pause when my title is shortened.|That's how the last challenge began. {ask}|say whether you're questioning the plan or my authority.
S61|I borrow your commanding pause before answering.|Interesting pause. Mine has more authority now. {ask}|I copy the way you hold the room's attention.|A useful trick, confidence. {ask}|watch how I deliver the next instruction.
S62|I reach for the bell from my former office.|We used to come when I rang this. {ask}|I straighten a badge with an outdated title.|The title changed; my standards didn't. {ask}|bring the decision to me as in the old days.
S63|I erase my answer before showing the form.|One wrong box and I'm out, aren't I? {ask}|I rehearse a simple decision under my breath.|This one has to prove they chose correctly. {ask}|check my first decision before I risk signing it.
S64|I put the safety key behind my own badge.|The protection comes with my supervision. {ask}|I offer a blanket without releasing its corner.|You can have my support on these terms. {ask}|let me approve where you're going next.
S65|I place my chair close to the most ornate nameplate.|If there's a photograph, I'll stand here. {ask}|I fold a casual greeting into my appointment letter.|They recognized me; that changes things. {ask}|introduce me as someone you personally invited.
S66|I move the quiet thank-you note beside the microphone.|That's lovely. Now where everyone can hear it. {ask}|I set out a place card with my full title.|Private respect doesn't need a smaller chair. {ask}|use my title when you make the announcement.
S67|I draw an arrow upward on the duty chart.|This goes through the person above me. {ask}|I arrange three nameplates into a chain.|We follow rank, not whoever speaks first. {ask}|have the chair introduce the difficult announcement.
S68|I put my name in the empty 'responsible person' box.|We cannot leave this box empty another minute. {ask}|I stand beside the unused leader's chair.|Someone has to occupy this before anything happens. {ask}|name a person who can settle this now.
S69|I add a new problem to my responsibility list.|Excellent, another door into the decision. {ask}|I turn a rejected proposal into a committee invitation.|If it's difficult, I'll need a wider remit. {ask}|give me authority over the new problem as well.
S70|I ignore the banner and hold out a requisition.|Lovely speech. Who can actually release the funds? {ask}|I trace the signature line rather than the title.|Which signature opens the locked door? {ask}|point me toward whoever controls the key.
S71|I place the ceremonial hat firmly on my head.|The hat isn't decorative while I'm wearing it. {ask}|I keep one hand on the official chair.|We can discuss rank once I'm out of this seat. {ask}|leave the badge with whoever makes the decision.
S72|I redraw the seating plan after a coffee request.|You fetch their coffee? Then this arrow goes upward. {ask}|I place the quietest name at the top of my chart.|Everyone checked that person's face first. {ask}|tell me who really gets the last word here.
S73|I mark two different memories as 'my account' and 'draft'.|I've understood us longer. {ask}|I close the relationship scrapbook on my preferred page.|This is the version that explains both of us. {ask}|let me describe what our disagreement actually means.
S74|I lower a cup onto its saucer without a sound.|Let's keep every sharp thing off this table. {ask}|I tidy the untouched napkins with trembling fingers.|We're having a perfectly calm conversation. {ask}|leave the old argument closed until we've eaten.
S75|I point to the rhythm of your tapping hand.|Three taps. I know that one. {ask}|I slide the familiar favourite cup closer.|You pick that cup when there's something to say. {ask}|tell me what the tapping means this time.
S76|I hang my coat on the old family hook.|It was my hook before the new signs. {ask}|I set a place for myself at the familiar table.|A few years away didn't erase my seat. {ask}|show me where you've put my old cup.
S77|I open a diary to a dated promise.|I'm quoting the Tuesday agreement, not pulling rank. {ask}|I place our old note beside the new proposal.|We tried this wording before. {ask}|read what we promised before changing it.
S78|I fold a private note so only its first word shows.|We don't need to discuss the rest in public. {ask}|I touch the locked keepsake box lightly.|You know why I still have this key. {ask}|give me a minute alone before the others arrive.
S79|I tap twice on the table with an old grin.|Two taps still means our usual escape. {ask}|I leave half our old phrase unfinished.|Purple umbrellas, remember? {ask}|finish the phrase before we try being strangers.
S80|I set a faded waiting-room ticket on the table.|I stayed that whole night. {ask}|I turn the calendar to the day I never went home.|That wasn't just another visit. {ask}|give me an honest answer instead of the polite version.
S81|I begin making both drinks without asking.|You talk; I make it bearable. Same jobs. {ask}|I fetch tissues before taking my own seat.|I know which part I always get. {ask}|tell me whether I'm still supposed to be the fixer.
S82|I measure the space between two framed photos.|Their frame gets a better spot than mine. {ask}|I compare the lengths of two invitation notes.|Mine has a full sentence less. {ask}|tell me why their invitation needed a ribbon.
S83|I hand you my keys before realizing it.|Sorry. My hand still goes to you first. {ask}|I start dialling your number while you stand beside me.|I always ask you before I notice I'm asking. {ask}|check which key opens the new door.
S84|I move the old apology note out, then back.|I'm over it, except this one sentence. {ask}|I reach for a second cup and stop.|We were nearly fine until that particular joke. {ask}|explain that part without dismissing it this time.
S85|I try the same effortless affectionate wave.|It's nice how little effort being loved takes you. {ask}|I redo my greeting more warmly than before.|I can be the easy one too. {ask}|notice that I remembered your favourite biscuit.
S86|I put our old song on at low volume.|I remember exactly who I was when this played. {ask}|I wear the scarf from our first photograph.|We might still fit the picture. {ask}|walk the old route with me once more.
S87|I pull my cup nearer as the silence grows.|That's a longer pause than yesterday. {ask}|I smooth the edge of an unanswered invitation.|A maybe isn't quite a place beside you. {ask}|give me a day I can actually put in the diary.
S88|I take out the checklist I made of your day.|I check because I care, not because I'm checking. {ask}|I offer a prepacked bag and watch its contents.|Everything you might need is already in there. {ask}|tell me where you're going so I can stop worrying.
S89|I set my mug beside the one reserved for guests.|I'm still the chipped-mug person, aren't I? {ask}|I hover over the space for an emergency contact.|I haven't changed this name yet. {ask}|tell me whether you still want me on this line.
S90|I dust the gift I made years ago.|Funny that you kept it all this time. {ask}|I turn the photo toward the spot where I'm standing.|That's my sleeve helping you up. {ask}|tell me what you remember about that afternoon.
S91|I leave two spoons beside the shared dessert.|We still do two spoons. That's ours. {ask}|I begin our old handshake very slowly.|Don't rush the last part. {ask}|finish our little ritual before we talk business.
S92|I start wrapping my keepsake after a brief silence.|I know how packing begins. {ask}|I look from a cancelled plan to my house key.|Is this the first cancellation or the last invitation? {ask}|tell me whether to leave my key on the table.
S93|I smile over the familiar chipped plate.|You remembered this one. We're not strangers. {ask}|I save a tiny shared joke in my notebook.|Still laughing at the same thing. That's something. {ask}|make room for one more ordinary evening together.
S94|I open a diary beside the difficult letter.|We can feel all of that and still pick a Tuesday. {ask}|I set out two cups and a spare key.|Let's make the next visit easier, not perfect. {ask}|choose a regular time we can actually keep.
S95|I underline two words in a note.|You wrote 'for now'. Why those two words? {ask}|I repeat a tiny phrase in a different tone.|'Still welcome.' Still does a lot of work there. {ask}|tell me what you meant by 'for now'.
S96|I pin another accidental meeting onto a little map.|Third time in a week. The map's getting insistent. {ask}|I hold up the coat we both reached for.|Even the coat rack is arranging reunions. {ask}|give this coincidence another ten minutes.
S97|I put the celebration banner facedown.|I'm not in a banner mood yet. {ask}|I move my chair into the centre of the circle.|Let's start with the part I can bear hearing. {ask}|wait until I'm ready before raising a toast.
S98|I steady a cup with both hands.|I'm completely calm while everyone stays calm. {ask}|I count my breaths beside the agenda.|Nothing sudden, and I can lead this. {ask}|say the next thing slowly enough for me to follow.
S99|I label a sigh on my notepad.|That's frustration dressed as indifference. {ask}|I rewrite 'fine' as 'guarded optimism'.|I'm translating, not criticizing. {ask}|give me the feeling underneath the word 'fine'.
S100|I set my worn shoes by the clean welcome mat.|These got me here. They count as credentials. {ask}|I smooth the creased letter I've carried for months.|I've already passed the difficult part of belonging. {ask}|leave a space for me in the discussion.
S101|I turn an old coping list toward you.|I was doing this before it had a name. {ask}|I demonstrate my practiced steady breathing.|I learned this the hard way, first. {ask}|try my way through the first difficult minute.
S102|I fold the celebration napkin and put it away.|No, that's quite all right. I'll adjust my expectations. {ask}|I erase a tiny star beside your name.|I was hoping for something else, that's all. {ask}|take one more look at the promise you made.
S103|I unfold the plan we once drew on a napkin.|We believed every word on this. {ask}|I put the empty savings jar between us.|This used to mean next summer, not never. {ask}|name one part of the old hope we can still try.
S104|I take out the scarf you lent me that night.|You got me through it once. {ask}|I leave space beside my chair as I used to.|I kept showing up because you did. {ask}|give me the honest version, not the careful one.
S105|I pass out tissues while hiding mine in my sleeve.|I've got everyone covered. {ask}|I turn my cup so the shaking handle is hidden.|I'm fine to carry another thing. {ask}|take a seat while I sort out the difficult calls.
S106|I place my thicker stack of rejection letters beside yours.|I'm not comparing, but count the envelopes. {ask}|I cross out 'rough week' and write 'rough year'.|We should be precise about who's endured what. {ask}|leave a little time to hear what happened to me.
S107|I watch your face before opening the letter.|If you're still sitting calmly, I can read it. {ask}|I bring my chair an inch closer to yours.|It's only a better angle, obviously. {ask}|tell me whether this is something I can face today.
S108|I turn a harmless blue cup away from me.|No problem. Let's just use a different colour. {ask}|I tidy frantically around the familiar envelope.|I'm being helpful, not avoiding that shape. {ask}|put the blue cup somewhere I don't have to watch it.
S109|I copy your deep breath with a resentful little smile.|You make courage look like breathing. {ask}|I pick up the letter you opened without hesitation.|Some of us have to work up to that. {ask}|wait while I open mine just as bravely.
S110|I write 'when' over the word 'if'.|The old me wouldn't have hedged. {ask}|I take the hopeful poster out of the drawer.|Caution never made me happier. {ask}|plan one good outcome without qualifying it.
S111|I prepare an empty box before opening the message.|Better to be ready when the bad bit arrives. {ask}|I turn my chair toward the exit at a small pause.|I can hear a goodbye getting assembled. {ask}|tell me the worst part first so I can brace.
S112|I gather everyone's unopened letters into my tray.|I'll decide which ones we face today. {ask}|I take the difficult phone list into my pocket.|Let me carry what I think you can’t yet. {ask}|give me the message before deciding who should hear it.
S113|I cross out my last sentence and smile carefully.|Was the first version better for us? {ask}|I move my chair back, then forward again.|This distance? Or was the other one better? {ask}|say plainly whether we're still okay.
S114|I push the sympathy card beside my medal.|That's endurance, not a reason to pat my head. {ask}|I fold the offered tissue into a neat square.|A practical arrangement between equals, please. {ask}|tell me what I handled well instead of feeling sorry.
S115|I light an imaginary candle before opening the box.|We do the silence before the stories. {ask}|I arrange three keepsakes in a careful sequence.|Not that one yet. Remembering has an order. {ask}|give this goodbye its full minute.
S116|I stop the music at a small sigh.|Was that a tired sigh or an emergency sigh? {ask}|I clear a space around a crumpled napkin.|Something is happening; we need a plan. {ask}|tell me what changed in the last ten seconds.
S117|I preserve a tiny encouraging note in an envelope.|Two kind words. That's the tide turning. {ask}|I circle the one improved number on the page.|It started moving. The rest can follow. {ask}|help me plan for the good answer.
S118|I set water beside the unopened letter.|We can cry and drink water at the same time. {ask}|I make space on the bench without asking for a story.|Here is somewhere to put the weight down. {ask}|choose water, quiet, or a walk right now.
S119|I hold my pen above the pause in your note.|That gap is where the real message is. {ask}|I recreate the little wave very slowly.|Not goodbye exactly, but not hello either. {ask}|tell me what that tiny wave meant.
S120|I write today's date in unusually large letters.|We'll divide things into before this and after it. {ask}|I close one notebook and open a fresh one.|This is the page where things change. {ask}|choose the first thing we do in this new chapter.
S121|I cover half the page before passing it.|That is the part you're allowed to ask about. {ask}|I sort the envelopes into 'now' and 'not yet'.|Disclosure goes through me. {ask}|read only the paragraph I left visible.
S122|I answer without looking at the sealed briefing.|The details are entirely under control. {ask}|I tap a closed folder as though I've memorized it.|We don't need to open that to proceed. {ask}|take my summary without requesting page numbers.
S123|I line up two notes with different times.|Four minutes missing between these accounts. {ask}|I circle the one word somebody crossed out.|Interesting choice to erase that. {ask}|walk me through what happened in those four minutes.
S124|I pull my chair up to the closed folder.|You can give me the insider version. {ask}|I turn my visitor badge facedown.|I thought I was one of us. {ask}|pass me the unredacted pages, not the public summary.
S125|I reveal one line beneath my covering hand.|That's enough for a first initiation. {ask}|I stop halfway through the secret handshake.|You'll learn the ending when you're ready. {ask}|repeat the first rule before asking for the second.
S126|I hold the final clue on the back of a receipt.|One useful fact at a time. {ask}|I start revealing a name, then refold the page.|We can arrange the timing of that detail. {ask}|agree on the next step before I show the name.
S127|I tap the little box from our first hiding place.|We still know what's under the false bottom. {ask}|I repeat our childhood password under my breath.|That word still belongs to just us. {ask}|use the old signal if the coast is clear.
S128|I place the old cover story beside your request.|I was your alibi before I was your inconvenience. {ask}|I fold the note I never showed anyone.|That silence wasn't free of effort. {ask}|back my account the way I once backed yours.
S129|I collect the contradictory notes into one pile.|I'll tidy the story again, shall I? {ask}|I remove the revealing label from a box.|The usual cleanup job has found me. {ask}|give me every version before somebody repeats the wrong one.
S130|I number a new clue before explaining it.|Found it first. Write that down. {ask}|I draw a conclusion and put my initials beneath it.|You can catch up after I've tested this. {ask}|let me follow this clue before you claim the answer.
S131|I move one chair away from the open doorway.|Only you get the rest of this sentence. {ask}|I hold the confession inside my closed notebook.|I need to know this stops with you. {ask}|listen to one thing I haven't told anybody else.
S132|I place the unanswered letter between today's papers.|Everything new still runs into this old blank. {ask}|I leave the final question circled in red.|We can't call it settled with that missing. {ask}|answer the question from the night we stopped talking.
S133|I copy your still hands while hiding my shaking thumb.|Must be nice to look that innocent. {ask}|I rehearse the same effortless shrug.|I can make a story sound calm too. {ask}|show me how you answered that without blinking.
S134|I turn our photograph away from the new evidence.|I liked the world in that photograph. {ask}|I repeat the old explanation with a strained smile.|It used to be possible to believe that. {ask}|give me one minute before we replace the old story.
S135|I stop stirring when a conversation falls quiet.|There it is again: the missing part. {ask}|I pull up a third chair beside two closed notebooks.|I seem to have missed the briefing. {ask}|tell me what changed while I was out.
S136|I remove the last page from a message.|This part can wait until there's somewhere soft to sit. {ask}|I put a cheerful note over the difficult letter.|Timing is part of telling the truth. {ask}|let me choose when the rest of the news is shared.
S137|I keep the private note close to my chest.|You told me first; I'd like that to matter. {ask}|I refold the confidence when another chair appears.|Is this still a just-us conversation? {ask}|tell me before inviting somebody else into this secret.
S138|I turn my dated notes toward the lamp.|I circled it on Tuesday. Merely for accuracy. {ask}|I casually leave my first prediction on top.|You might notice who connected those dots. {ask}|mention that I found the clue before it looked important.
S139|I tap three times before saying an ordinary name.|Password first. Then we can discuss lunch. {ask}|I replace a spoken word with our ridiculous hand signal.|Not aloud; the approved gesture. {ask}|use the signal instead of saying where the box is.
S140|I stuff another note under the door crack.|How did that question reach this room already? {ask}|I count the copies of a supposedly private letter.|Three copies means at least two conversations. {ask}|help me trace who has seen this version.
S141|I smile as I find a page missing.|Oh, somebody wanted this to be interesting. {ask}|I spread conflicting accounts like birthday presents.|A contradiction each. How generous. {ask}|bring me the version that makes the least sense.
S142|I write 'witnesses' next to the picnic timetable.|Fine, a secret operation. Who explains the extra car? {ask}|I put the cover story beside the actual bus schedule.|Our lie misses the last bus. {ask}|check when the witness would really have arrived.
S143|I isolate one red thread from an untidy coat.|Ignore the rest. Why exactly this shade? {ask}|I frame a tiny coffee stain with my fingers.|Somebody carried this cup to the wrong place. {ask}|explain that single ring before we discuss the whole story.
S144|I move a clue between three competing diagrams.|That helps the accident theory, not the plot. {ask}|I cross out my favourite explanation reluctantly.|All right, the cat theory survives another round. {ask}|test this new clue against both explanations.
S145|I label the floating object 'correctly understood'.|It's levitating, not escaping. Important distinction. {ask}|I correct my own sketch of the impossible doorway.|My interpretation is the one keeping it open. {ask}|use my explanation before trying the door again.
S146|I cross out noon on the prophecy.|The stars obviously meant afternoon. {ask}|I add a tiny footnote under 'inevitable'.|Destiny allows for traffic. {ask}|give the prediction another ten minutes to become accurate.
S147|I adjust imaginary protective goggles.|Technically that's a reverse haunting. {ask}|I measure the invisible creature with a ruler.|Invisible doesn't mean dimensionless. {ask}|hold the ruler where its second head begins.
S148|I greet the empty chair before sitting.|Of course I can see the guest. {ask}|I copy the impossible salute very earnestly.|I was doing it that way already. {ask}|save me a place in the next cloud inspection.
S149|I demonstrate how to bow to a shadow.|Beginners bow to the person; veterans know better. {ask}|I conceal the easy shortcut in my ritual notes.|The advanced version comes after your first miracle. {ask}|practise the shadow greeting before using my shortcut.
S150|I keep the only normal spoon in my pocket.|Nothing grand about me. Just the spoon that stays solid. {ask}|I mark a safe square of ordinary floor.|Anyone who needs gravity can start here. {ask}|bring the floating bowl to my ordinary spoon.
S151|I set a place for the invisible ancestor.|Same empty chair every year. {ask}|I start the familiar backwards walk to dinner.|You remember: desserts are approached in reverse. {ask}|finish our old cloud-greeting before we eat.
S152|I put an old favour receipt beside a star chart.|I lent you lunch money; moving one moon is fair. {ask}|I weigh a tiny kindness against an impossible request.|You said anything. I've saved the exact word. {ask}|borrow me ten minutes from yesterday.
S153|I add 'floating relatives' to the seating plan.|Whatever they're doing, they still need places. {ask}|I put a bucket under a miraculous leak.|The explanation doesn't dry the floor. {ask}|tell me who empties the bucket every hour.
S154|I bow lower to the invisible guest.|I believe so strongly I can see their shoes. {ask}|I volunteer both hands for the impossible pledge.|One hand is for people with doubts. {ask}|watch me take the strange rule more seriously.
S155|I follow your absurd diagram while pretending not to.|A coincidence that the backwards arrow worked. {ask}|I copy the nonsensical formula into my practical notes.|I'm recording this purely for troubleshooting. {ask}|give me the next ridiculous instruction to test.
S156|I unfold the promise to bring back yesterday.|No expiry date. I checked every corner. {ask}|I set an extra plate for a promised impossible guest.|You said they'd come; the plate stays. {ask}|tell me when you'll deliver the sunrise you promised.
S157|I try to look less surprised than the empty chair.|Oh, only invisibility. How ordinary. {ask}|I imitate your casual greeting to the wall.|Some of us have always spoken fluent brick. {ask}|watch how naturally I address the talking doorway.
S158|I open my old manual beside the floating kettle.|It says kettles remain on surfaces. {ask}|I put on spectacles to inspect the invisible thing.|The old me would call this a lighting issue. {ask}|try the ordinary switch before we rewrite physics.
S159|I whisper while covering the impossible object.|Don't let reality hear you call it impossible. {ask}|I laugh too loudly at a perfectly serious contradiction.|Normal! Delightfully normal. {ask}|speak as though chairs have always floated.
S160|I tie a ribbon around an imaginary hazard.|This prevents emotional lightning. {ask}|I require a helmet for reading the prophecy.|Paper cuts can happen tomorrow as well as today. {ask}|put on the protective ribbon before asking why.
S161|I join the applause half a beat late and much too loudly.|Yes! Exactly what I was about to celebrate. {ask}|I copy the group's surprised gasp after checking faces.|A remarkable development, apparently. {ask}|show me which way we're all pointing this time.
