# ID|action 1|spoken request 1|action 2|spoken request 2
D34|I put a late parcel beside the ringing phone.|choose the delivery or the call; both supposedly come first.|I hold the dinner timer beside the departure ticket.|pick what burns: the dinner or the timetable.
D35|I pencil my name into your busy calendar.|move that ordinary appointment so we can have this hour.|I lay my invitation across another commitment.|reschedule one thing for me, not because it's convenient.
D36|I hold out both hands beside the struggling repair.|give me the hinge before we turn one loose screw into three.|I put my empty clipboard beside the unfinished plan.|hand me the planning for this part and step back.
D37|I slide the borrowed pen back into its cup.|was that pen ever missing? It looks perfectly at home.|I replace a cracked plate with a similar one.|the cupboard always had this pattern, more or less.
D38|I align labels in front of the unsorted mess.|before we discuss the missed cleanup, which label colour looks best?|I polish one spoon beside a mountain of plates.|look at this shine; let's start with what's going well.
D39|I slip the repair bill into my own bag.|nothing you need to deal with; I've already made the call.|I quietly place a bucket under the leak.|go enjoy lunch; the extra water is my little project.
D40|I point to a chair moved from its usual place.|who had a reason to put this here yesterday?|I compare two versions of the schedule.|which pen wrote the new time, out of curiosity?
D41|I cover the unfinished corner with a decorative cloth.|the uncovered part is complete; the rest is intentional breathing room.|I tape a note over the missing handle.|it's finished as a prototype of simplicity.
D42|I inspect the unusual latch while nodding.|yes, this model always opens differently from the one before.|I read a fresh instruction as though recalling it.|of course, turn it clockwise; exactly what I was about to do.
D43|I add another bag to the favour already offered.|you carried two? I'll carry four and make the tea.|I rewrite my task list to be longer.|your generous hour deserves my entire afternoon.
D44|I celebrate the lift breaking.|excellent, the stairs will solve our exercise problem too.|I count the coins saved by a cancelled trip.|a delay and a budget improvement in one afternoon.
D45|I smile while dragging the unexpectedly heavy bag.|no trouble at all; I only needed that shoulder for the rest of my life.|I add another place setting with careful politeness.|another guest is lovely; my portion was optional anyway.
D46|I mark thirty minutes beside the favour.|half an hour now buys me your Saturday morning.|I put two household tasks on a balance sheet.|I'll do the dishes if you do the next two grocery runs.
D47|I carry one tiny box from the enormous pile.|you asked me to move a box. Done.|I water the single plant named in the request.|the others weren't included in 'water that one'.
D48|I enlarge a repair diagram until it covers the table.|fixing the tap means we should redesign the entire kitchen.|I move from one loose chair leg to every chair.|we can't solve this properly without replacing all the seating.
D49|I write 'deputy' on a spare badge.|help me by taking this assignment under my direction.|I place a small chair beside my larger one.|join the operation as my reliable second.
D50|I keep the dismissal line on the form blank.|you can collect your coat when I release you.|I hold the exit note without signing it.|departure is pending my approval, not your timetable.
D51|I place my title above the disputed sentence.|apologize for speaking to my position that way.|I point to the courtesy crossed out in the note.|the incident matters less than the respect you skipped.
D52|I hold a supporting statement beside the microphone.|endorse this decision where everyone can hear you.|I slide the public approval page forward.|put your name on the support line so it can't vanish later.
D53|I draw an arrow from my job to yours.|this unpleasant job travels down the chart to you.|I place the task beneath a subordinate title.|accept this as the junior responsibility it plainly is.
D54|I trace the final approval line.|who can actually stop this after everybody else agrees?|I lay three signatures side by side.|which one of these could reverse the other two?
D55|I add an empty chair to my side of the table.|sit with me so this looks like more than one person's opinion.|I leave a supporting name blank on the proposal.|join the proposal before they call it my private campaign.
D56|I pass over a complaint I haven't signed.|ask the chair why that rule exists before I risk asking.|I point to the forbidden shortcut from a safe distance.|challenge the restriction first; I'll support the result.
D57|I tap the full name on my badge.|use the title when you introduce me, not just the first name.|I straighten the place card with my rank.|give me the courtesy that comes with this position.
D58|I put two rival proposals in front of you.|choose whose authority you're going to support.|I offer two coloured ribbons.|wear one side's colour; neutrality isn't an answer I can use.
D59|I place a trivial object across the room.|bring that here without needing me to justify the request.|I move the object again after its return.|now take it back; I'm checking something other than distance.
D60|I hold out the official key.|name me as the next decision-maker before you hand it over.|I leave the chair empty for a public announcement.|tell the room the authority passes to me now.
D61|I hide the original instruction beneath the response plan.|follow this new direction; there's no need to discuss who started it.|I quietly remove my initials from the first order.|let's concentrate on my solution, not the missing signature.
D62|I turn my appointment letter facedown.|who appointed me is outside today's discussion.|I set a task list over the question of credentials.|we'll debate the job, not my right to assign it.
D63|I remove a destabilizing page from the briefing.|the shortened version will keep everyone steady.|I put the alarming note in a sealed drawer.|the leadership is stable enough for today's purposes.
D64|I add blank spaces beside an authorization.|name who backed you before we talk about the decision.|I point to the invisible chain behind a signature.|who benefits from letting you give that order?
D65|I surrender the best chair with elaborate calm.|I chose to give up that position; strategic generosity.|I move my marker backward as though planned.|retreat creates room for my influence to expand later.
D66|I display an unsigned pass without pausing.|the permission is in order; let's not slow down to verify it.|I stamp my own request confidently.|authorization has already been handled, as you can see.
D67|I arrange contributions from top to bottom.|mine goes above that one for strategic importance.|I add a ranking column to a friendly suggestion list.|helpfulness is good, but who was most essential?
D68|I grin at the enormous pile of new problems.|so many problems must mean they trust my power.|I pin another responsibility onto my badge.|another restriction means another boundary worth controlling.
D69|I smile while crossing options off the list.|thank you for choosing; I've narrowed your options to the correct one.|I offer an appreciative handshake over a strict instruction.|I'm grateful for your flexibility about having no alternative.
D70|I keep a door key beside an IOU.|access costs a favour I can name later.|I lift a useful page just out of the stack.|one approval buys one introduction; let's be precise.
D71|I mark a hesitant nod as support on the chart.|I'll record that as agreement with my leadership.|I place 'unanimous' over two qualified comments.|your agreement on the date confirms the whole plan under me.
D72|I draw my boundary around the latest problem.|that affects my area, so I'll need to control this part too.|I add another key to my ring.|one more responsibility requires one more room under my authority.
D73|I set out an extra cup beside the task.|show up for this, not because it's easy, but because it's us.|I leave room for another pair of hands.|help with this one thing so I know we're still connected.
D74|I hold my coat without putting it on.|before either of us leaves, tell me whether we're actually okay.|I reopen a practical task that's already finished.|the dishes are done, but we haven't settled what happened between us.
D75|I place the missed-event ticket between us.|acknowledge what it cost me to stand there alone.|I point to the date I stopped writing.|tell me you understand why that silence hurt.
D76|I show the signed decision as though unsigned.|I don't need permission, but I still need your blessing.|I offer the good news without smiling yet.|say you're glad I chose this before I celebrate it.
D77|I move half the difficult papers toward you.|carry part of this because we're not supposed to do it alone.|I put another handle on the heavy bag.|take this side as part of being in my life.
D78|I hover over the label on an invitation.|what should I put beside your name for us?|I leave two seats together on the plan.|would we sit together at something neither of us organized?
D79|I pass you my account of the old argument.|back my version when the family story gets told.|I mark the part where our memories diverge.|take my side about what that promise meant.
D80|I offer a private note without letting go.|say something unguarded with me, just once.|I hold the invitation we'd usually decline.|come as my guest even if somebody asks what we are.
D81|I turn our oldest photograph toward you.|say this mattered before putting it in storage.|I display the worn ticket from our first trip.|don't call this a random souvenir; tell me what it was to us.
D82|I put my invitation next to the promotion letter.|choose a little time with me over the impressive opportunity.|I leave a seat beside me while a phone rings.|stay with this conversation instead of taking that call.
D83|I set out three drinks without labelling mine.|which one would you have poured for me?|I stop midway through an old story.|finish the part you used to remember better than I did.
D84|I move the apology note beside a fresh invitation.|leave the old claim here and come to the next dinner.|I hold out an empty box for the saved grievance.|give up this one piece of the argument so we can move.
D85|I hide the unanswered letters under fresh stationery.|let's reconnect without counting who stopped writing first.|I offer a new key while covering the old changed lock.|I've missed us; the lock is just a practical detail.
D86|I change the topic from the old silence to dinner.|let's talk about what to cook, not why I disappeared.|I point to the cheerful part of the photograph.|remember the weather that day, not the conversation afterward.
D87|I put the new upsetting letter under an old card.|there's nothing new worth reopening the argument for.|I straighten the table over a hidden message.|today can stay peaceful with the shorter explanation.
D88|I leave my own emotional note folded.|did you notice how quiet it was without me?|I ask about the empty chair instead of my absence.|tell me whether anybody missed the noise from this seat.
D89|I frame the gap in our calendar with a pen.|the time apart was probably the healthiest thing we ever did.|I turn a failed reunion into a planning note.|we needed that disastrous meeting to understand what to change.
D90|I produce a relationship repair list I've just invented.|I've got a method: first tea, then whichever apology comes naturally.|I number three blank steps confidently.|we're on step two of fixing us; I know what comes after this.
D91|I add another old ticket to the affection pile.|I kept twelve souvenirs; how many did you keep?|I insist on taking the heavier bag.|let me show who cares enough to carry more.
D92|I smile at a painfully awkward familiar joke.|we can still make this awkward together; that's a good sign.|I keep the invitation after a postponement.|a delay isn't a no; we've still got an invitation between us.
D93|I offer the favourite drink with a pointed smile.|here, exactly how you like it; I remember the little things.|I straighten the blanket rather sharply.|comfortable? I always make sure one of us is.
D94|I write a future favour beside 'forgiven'.|this apology buys one fresh start; I'll need loyalty in return.|I exchange the old grievance for a promise.|I'll let that go if you'll show up next time.
D95|I draw a careful boundary around the reunion date.|yes to reconnecting; no to discussing the parts I closed.|I accept the invitation but cross out the overnight stay.|we can be close in the ways that let me leave at ten.
D96|I put today's complaint next to the old one.|here it is again; this time I won't rebuild the whole routine.|I circle the repeated phrase on two different notes.|same promise, larger consequence if it fails again.
D97|I set one heavy folder near the other chair.|take this one call off my hands without making me explain why.|I pass over the unopened letter.|read the first line for me; I can't be the first to see it.
D98|I keep two cups out after the tea is finished.|sit through one more cup while my hands stop shaking.|I count my breaths with the coat still folded.|give me another quiet minute before the door closes.
D99|I point to the empty seat in the photograph.|understand that it hurt because I saved that place for you.|I set an unread message beside the apology.|say you understand why the silence mattered, not just that it happened.
D100|I spread the work beside the rejection letter.|tell me that what I managed was enough.|I put the smallest finished piece in front of you.|say this counts even if it wasn't everything I hoped.
D101|I slide the difficult announcement across.|you say the cancellation aloud; I'll handle the papers afterward.|I offer the telephone instead of picking it up.|begin the hard conversation for me; I'll join once it's started.
D102|I turn an unfinished answer toward the light.|what belongs after that careful pause?|I leave space beneath a polished explanation.|tell me the part that didn't fit your safe version.
D103|I draw a second route around the blocked one.|believe with me that there is still a way through.|I set two empty glasses beside the unlikely good news.|help me plan a celebration before all the evidence arrives.
D104|I leave a frightening sentence half-written.|say the worst possibility first so I don't have to name it alone.|I push the unopened result toward the other seat.|tell me what we're both afraid this might say.
D105|I place the unsent angry letter beside the polite one.|notice how much restraint it took to send the shorter version.|I show the first shaky draft.|see the courage it took me to finish even this much.
D106|I set the safe plan beside the ambitious one.|choose whether feeling safe or getting there matters more.|I offer the invitation next to an easy excuse.|pick the comfort of staying home or the chance you say you want.
D107|I leave a little more of the difficult letter exposed.|can you stay with me while I say one less comfortable thing?|I move from the small admission to the next line.|listen to the harder part before deciding we're finished.
D108|I set the ceremonial brave face mask aside.|you can put down the strong voice here.|I offer a plain cup instead of a toast.|tell me one thing that actually got to you today.
D109|I hide the panicked message I sent first.|let's calm everyone down without tracing who raised the alarm.|I wipe my name from the worry list.|we can solve this by focusing on the present, not my earlier calls.
D110|I count teaspoons beside the unopened results.|before the frightening part, do we have enough clean spoons?|I check the departure time repeatedly.|let's settle the timetable instead of discussing what scares me.
D111|I tuck the discouraging result beneath the plan.|there is still something worth trying this morning.|I underline a small possibility, hiding the worse number.|look at the one thing that hasn't ruled us out.
D112|I keep my crumpled note under the table.|were you disappointed too, or was that only how it looked?|I offer the tissue box without taking one.|tell me what hurt you before I explain why I brought tissues.
D113|I label the rejected invitation 'growth'.|this disappointment is exactly the lesson we needed.|I put the broken keepsake in a new box.|losing it this way makes room for something truer.
D114|I copy the calming breath while claiming composure.|yes, that breathing method is part of how I handle things.|I follow a suggested step as though it was my plan.|water first, obviously; I was just reaching for it.
D115|I add a heavier folder to the worries on the table.|that's difficult; wait until you hear what I'm carrying.|I count my sleepless nights on more fingers.|one rough night? Let me put that in perspective.
D116|I move the hoped-for date farther along the calendar.|not this Friday means more time for the right answer.|I draw a new route around the failed one.|it isn't gone; the hope has changed its address.
D117|I hand out tissues while hiding my wet sleeve.|let's make sure you're all right before anybody checks on me.|I pour another comforting drink without taking my own.|tell me your trouble; mine can keep standing in the kitchen.
D118|I write a quiet promise beside the comfort I offered.|I'll carry this with you; someday I need you equally unguarded.|I exchange my folded confession for an empty page.|I've risked my truth; meet me with one of yours.
D119|I mark one safe subject on the confession list.|I'll be honest about this part and keep the rest closed today.|I choose the chair nearest the exit.|yes to talking, provided I can pause whenever I need to.
D120|I circle the same ominous phrase in a new letter.|that word again; this is heading toward the ending I feared.|I move a new disappointment beside the old photograph.|it's happening in the same order, only faster this time.
D121|I slide the sealed envelope under a tray.|help me keep this out of sight before asking what's in it.|I offer a key to an unexplained cupboard.|hold this until tomorrow and don't mention the cupboard.
D122|I put two contradictory departure times together.|before you leave, explain the hour that appears in only one account.|I place the changed note beside a coat.|wait until you've explained why this line was altered.
D123|I uncover the part of the message that was hidden.|apologize for keeping me in the dark, not for the decision itself.|I place the public version next to the private one.|acknowledge that telling me half the truth changed everything.
D124|I rehearse the cover story from a small card.|agree that we were collecting chairs, not opening the cupboard.|I pass over the harmless version of the timetable.|back this explanation if anyone asks about the missing hour.
D125|I hold out the box with the revealing label.|you look after the evidence; I'll handle the less dangerous details.|I slide the follow-up call list across.|take responsibility for explaining the loose end nobody can ignore.
D126|I arrange three versions of the story by time.|tell it again starting before the missing ten minutes.|I point to a changed noun in two accounts.|which object was actually there, the bag or the box?
D127|I write a simple shared account on two cards.|remember this version with me: we arrived after the lights went out.|I pass over the words I'd like repeated.|back my explanation when they ask about the extra key.
D128|I give you the rehearsal account without signing mine.|try that explanation on the first person who asks.|I point toward the person with the awkward answer.|ask the risky question first; I'll hear how it lands.
D129|I circle my initials beside the earliest clue.|say who discovered this before the discovery becomes everyone's.|I bring my original sketch out of the drawer.|mention that my diagram found the hidden door.
D130|I put a private letter beside our photograph.|choose whether to answer that question or keep this confidence.|I hold the revealing page above the public pile.|decide which matters now: the complete truth or protecting us.
D131|I offer a mild secret and watch the doorway.|keep this small detail quiet before I tell you the important one.|I start a more sensitive sentence and pause.|where would these words go after I leave the room?
D132|I hold out an empty evidence envelope.|give me the original note, not your description of it.|I point to the locked drawer.|hand over the key that lets me check the actual proof.
D133|I place a safer explanation over the clue to my mistake.|that stain could be from the delivery; let's follow that first.|I turn my marked tool so the brand is hidden.|look at the faulty shelf, not who last tightened it.
D134|I tap an unrelated time on the schedule.|we'll get to why I had the key; first, when does the bus leave?|I display the least revealing photograph.|let's talk about this angle instead of the person just outside it.
D135|I read only the gentler half of the letter.|they said the event changed; you don't need every unkind sentence.|I put the harsh original under my shortened note.|here's the version that tells you what to do next, not what hurts most.
D136|I reveal a small piece of my private note.|I changed my mind once too; what made you choose that door?|I admit one harmless fear and leave room for yours.|I was afraid of being excluded; why did you hide the invitation?
D137|I tick a failure as though it were a planned stage.|the exposed flaw means the first phase is working.|I turn the spoiled diagram toward the next arrow.|exactly as designed: now nobody expects the original plan.
D138|I turn a new answer into my next confident question.|yes, the second key was the next thing I meant to examine.|I copy a useful term into my investigative notes.|naturally, we test the hinge discrepancy before proceeding.
D139|I claim a new clue with my pencil before looking at it.|I'll solve that before anyone else finishes reading it.|I put my deduction above the other notes.|compare your answer with mine after I've named it first.
D140|I celebrate a hole appearing in the cover story.|excellent, a plan this complicated will be impossible to copy.|I add another detour to the map.|every setback makes our route harder to predict.
D141|I offer a warm cup while closing another folder.|I'm glad you asked; let's leave that part safely tucked away.|I smile and reduce a detailed answer to one word.|everything is fine; the longer version would only worry you.
D142|I hold a clue beside an empty IOU.|one useful name costs one useful truth from you.|I divide my confession into pieces on the table.|trade me a warning and I'll trade you the next detail.
D143|I point to the single question I answered.|I said where I was, not what I carried.|I cross out 'complete account' and write 'honest answers'.|honesty means answering what you actually asked, nothing more.
D144|I connect a missing receipt to three more names.|the missing paper proves somebody else is helping.|I mark a denial as a new link.|that confident no is exactly what a larger operation would need.
D145|I set a place for the talking cupboard.|pass it a napkin with me like this happens every dinner.|I demonstrate a casual greeting to the empty chair.|help me welcome the invisible guest without making it a spectacle.
D146|I hold the prophecy beside the unused coat hook.|wait until the predicted visitor appears or we responsibly revise this.|I pencil another possible meaning under the prediction.|we can't leave while 'before sunset' still has interpretations.
D147|I offer an apology card to a chair.|say sorry to the chair for sitting before it agreed.|I point to the insulted doorway.|apologize to the doorway before asking it to open again.
D148|I lay out a plan for borrowing tomorrow's weather.|approve the first step: we'll store Tuesday's rain in this cup.|I draw a staircase up to a missing floor.|sign off on the invisible landing before we build the stairs.
D149|I assign the impossible section of a simple list.|you fold the moon; I'll stack the chairs.|I hand over a jar labelled 'yesterday'.|put the missing hour back in here before lunch.
D150|I list ordinary rules beside the floating bowl.|which rule keeps the soup inside when the bowl turns upside down?|I mark the moment the shadow stopped following.|what changed just before the shadow decided to lead?
D151|I place my impossible diagram between our cups.|work with me as though the house really is migrating.|I draw a plan around the talking kettle.|accept its complaints as advice and help me respond.
D152|I offer an empty cup beneath a cloud drawing.|try catching one drop of tomorrow before I stake my plan on it.|I point at the supposedly invisible bridge.|test the first step with your umbrella before I walk across.
D153|I display an old sketch of today's impossible event.|remember who drew the floating staircase before it appeared.|I turn my earlier note toward the light.|credit me for believing the cupboard before it started talking.
D154|I put two incompatible diagrams side by side.|choose: are we shrinking, or is the room growing?|I hold two rulebooks with opposite arrows.|pick whether gravity is late or we are early, so I can plan lunch.
D155|I put an extra bowl on the high shelf.|if the ceiling is hungry, put its breakfast where it can reach.|I label a seat for a guest from tomorrow.|reserve that chair as though tomorrow's visitor has already accepted.
D156|I put the ordinary repair guide away.|stop calling it faulty wiring and start asking the house what it wants.|I cross out 'lost' and write 'invisible'.|leave the missing-key explanation behind and search without your eyes.
D157|I hide the switch I flipped beside the floating cups.|let's manage the levitation without discussing that little switch.|I cover my handwriting on the summoning label.|the important thing is feeding it, not who wrote its name.
D158|I turn from the impossible apparition to a shopping list.|we can ask why it exists later; what do we feed it now?|I set out a bucket beneath the miracle.|stop debating the premise long enough to catch the dripping.
D159|I move the discouraging calculation under the next-step list.|we can still prepare its welcome while we wait for proof.|I display a tiny workable experiment.|look at this small success before reading the impossible odds.
D160|I leave my own strange observation unspoken.|did you notice the shadow moving before the chair moved?|I point to an empty bowl without explaining.|tell me whether the soup just waved at you too.
D161|I turn a failed map toward a different destination.|we weren't meant to find the door; we were meant to wake the wall.|I use the broken instrument for a new purpose.|the failed signal proves our real mission is to listen, not transmit.
D162|I invent a measuring gesture over the invisible guest.|naturally, you count the third elbow when measuring a cloud.|I correct the imaginary dial with certainty.|that's basic reversed gravity; the next rule will explain it.
D163|I add another chair above the floating one.|a flying chair needs a flying table, not a nervous audience.|I address an invisible guest's invisible entourage.|one unseen visitor? Let's set the whole banquet for them.
D164|I applaud the door opening into the wrong room.|perfect, we've removed the commute between mistakes.|I use the backwards clock to excuse the delay.|wonderful, late now means we're early yesterday.
D165|I calmly feed the invisible creature and inspect the carpet.|its three heads are fine; the crumbs are becoming unacceptable.|I ignore a floating table to check a small stain.|levitation I understand; who put a wet cup directly on the wood?
D166|I hold out an empty jar as payment.|I'll help for two unspoken promises and a spoonful of yesterday.|I weigh an imaginary coin on my palm.|one favour costs a borrowed shadow until Friday.
D167|I redraw the arrow beside our agreement.|yes, I'll come forward; in my physics that means staying here.|I rename the heavier object 'lighter'.|we agreed I'd take the light one, and I've revised how weight works.
D168|I extend the impossible rule onto the timetable.|if chairs float at noon, all meetings now need ceiling reservations.|I add the talking bowl's ancestors to a diagram.|a bowl that speaks must have a language, a history, and holidays.
D169|I place a second signature line beside mine.|co-sign this so the responsibility officially belongs to both of us.|I hand over a participation badge.|help as a registered participant, not an invisible favour.
D170|I keep the closing book open.|we haven't said the final words that formally end this.|I place two hands beside an uncut ribbon.|finish the closing ritual with me before collecting your coat.
D171|I set out the apology procedure in numbered steps.|start with the proper address, then name the offense clearly.|I move an informal note beside the official form.|put the apology where it counts, not on a scrap I can lose.
D172|I position the approval sheet under the lamp.|put your endorsement on the record before changing your mind.|I open a dated notebook.|say that approval once more while I write the exact words.
D173|I hold the rotation chart above the unwanted job.|the rota puts this responsibility beside your name today.|I point to the inherited duty written on the badge.|accept the task that comes with the title you chose.
D174|I offer a form with one small blank.|fill in the missing time as routinely as the other boxes.|I read the account without mentioning my private interest.|tell me what belongs between arrival and the second call.
D175|I write a new title on a clean badge.|join as keeper of the opening bell; the title makes you part of this.|I present an invitation with a ceremonial ribbon.|accept this official duty and help us carry it out.
D176|I leave the rule visible beside the special request.|make one small exception first, so we know it can be done.|I mark a proposed exception as a future reference.|bend it today; tomorrow we'll have a precedent.
D177|I point to the blank credit line in the record.|write down my contribution where nobody can quietly remove it.|I wait with my pen above the official minutes.|repeat my part in the result for the record.
D178|I set an old custom beside a new policy.|choose which precedent governs us before anybody acts.|I put two contradictory past decisions on the desk.|pick which earlier ruling you want me to follow now.
D179|I underline an ambiguous phrase in the custom.|apply this rule where it doesn't say whose turn comes first.|I leave the ceremonial instructions deliberately open at a gap.|show me how you interpret the custom when loyalty costs discretion.
D180|I offer a withdrawal line beside the complaint.|drop this one objection and let the normal process work.|I close the special-request folder halfway.|accept the ordinary queue instead of claiming an exception.
D181|I divide my mistake across three procedural boxes.|the delay occurred between departments, not at my desk.|I point to an unsigned transfer record.|some step appears to have misplaced it; let's inspect the process.
D182|I place the personal question in a separate tray.|that belongs to another process, not this conversation.|I write 'premature' across the difficult question.|we can't discuss why until the what has been approved.
D183|I read the simplified statement from a clean card.|repeat this short version; the omitted detail won't help anyone.|I put the full account under the safe summary.|use the approved explanation until everyone can handle more.
D184|I open a blank record opposite my closed file.|state exactly what you authorized before I discuss my signature.|I set the recorder down without starting my own account.|give your sequence of events first, in your own words.
D185|I stamp 'compliant' over a plainly failed result.|the outcome failed, but every approved step succeeded.|I file the broken outcome beneath the completed checklist.|we did it correctly; the system's purpose was proper compliance.
D186|I repeat a newly heard official term confidently.|yes, the reciprocal stamp review; precisely my next point.|I replace yesterday's wrong phrase without hesitation.|we now call it procedural alignment, as I've always understood.
D187|I produce a thicker rulebook beside yours.|my procedure has an appendix your shortcut hasn't considered.|I add an extra official title to my signature.|compare the credentials before deciding whose method wins.
D188|I smile at another compulsory form.|a new delay means they're protecting us more carefully.|I attach a review slip to the review.|this extra safeguard will make the original safeguard safer.
D189|I offer a welcoming cup beside a restriction notice.|delighted to have you; please don't touch anything until approved.|I smile while adding another small rule.|make yourself comfortable within the newly reduced sitting area.
D190|I put a friendly favour on an application form.|I'll consider the hug once we agree on scope and timing.|I number an urgent plea as a routine request.|take a ticket for reassurance and fill in the reason carefully.
D191|I underline the exemption beneath my agreement.|yes, within policy I can approve myself to supervise instead.|I attach a protective clause to the request.|I'll agree provided the rule exempts me from the unpleasant part.
D192|I add a signature box after a minor mistake.|one dropped cup means we need a pouring permit.|I put a supervisor line above the existing check.|the failed check requires somebody to check the checker.
D193|I ask for the useful tool without looking at it.|lend me the better grip; the win will still be my technique.|I take notes near the strongest player's advice.|give me one small edge without calling it carrying me.
D194|I keep the scoreboard visible beside the exit.|stay long enough to see the final result written down.|I put the unsettled bill between our coats.|we don't leave this bargain before its cost is undeniable.
D195|I show the uneven starting lines.|admit the comparison was unfair before congratulating the winner.|I place the hidden condition beside the result.|apologize for the rule that gave me no equal chance.
D196|I push the winning score toward you.|call it deserved, not lucky.|I display the completed challenge without the easy excuses.|say I earned this rather than somebody letting me have it.
D197|I set the penalty sheet beside the finished bargain.|take responsibility for the unpleasant next step we agreed to.|I hold out the cleanup equipment beneath the final score.|accept the cost of this result instead of debating it again.
D198|I turn the scoring sheet toward the other seat.|tell me what you count as success and where that puts me.|I place the prize beside a blank personal tally.|what do you actually gain if your preferred side wins?
